Propossal ID,Programme Name,Sub-Programme,Supplement,Lead Applicant,ORCID ID,Research Body,Research Body ROR ID,Funder Name,Funder ROR ID,Propossal title,Start Date,End Date,Current Total Commitment,Discipline
GOIPG/2024/3862,Government of Ireland Postgraduate Scholarship (GOIPG),,,Katie Murtagh,https://orcid.org/0009-0004-7084-592X,Dublin City University (DCU),https://ror.org/04a1a1e81,Research Ireland,https://ror.org/010t7sr36,New Catalytic Methods for the Enantioselective Alpha-Alkylation of Carboxylic Acid Derivatives Suitable for Pharmaceutical Applications,01/09/2024,31/08/2028,"€123,020.00",STEM
GOIPG/2024/3873,Government of Ireland Postgraduate Scholarship (GOIPG),,,Stephanie Thompson,https://orcid.org/0000-0003-4470-2672,Maynooth University (MU),https://ror.org/048nfjm95,Research Ireland,https://ror.org/010t7sr36,A Feasibility Study on the Introduction of a Specialised Domestic Violence Court in Ireland,01/09/2024,31/08/2025,"€29,730.00",AHSS
GOIPG/2024/3880,Government of Ireland Postgraduate Scholarship (GOIPG),,,Brian Mulhare,https://orcid.org/0009-0000-5825-4861,South East Technological University (SETU),https://ror.org/03fgx6868,Research Ireland,https://ror.org/010t7sr36,"Evaluating a Novel ""Supervised Tapered to Unsupervised"" Resistance Training Model for Healthy Older Adults",01/09/2024,31/08/2025,"€31,000.00",STEM
GOIPG/2024/3906,Government of Ireland Postgraduate Scholarship (GOIPG),,,Daragh Hollman,https://orcid.org/0009-0004-8128-2384,Dublin Institute for Advanced Studies (DIAS),https://ror.org/051sx6d27,Research Ireland,https://ror.org/010t7sr36,Mercury's Extreme Responses to the Sun's Influence,01/09/2024,31/08/2028,"€124,000.00",STEM
GOIPG/2024/3917,Government of Ireland Postgraduate Scholarship (GOIPG),,,Liam Murray,https://orcid.org/0009000382336367,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Research Ireland,https://ror.org/010t7sr36,Tailoring checkpoint blockade to innovative adjuvants for enhanced therapeutic cancer  vaccination,01/09/2024,31/08/2028,"€124,000.00",STEM
GOIPG/2024/3940,Government of Ireland Postgraduate Scholarship (GOIPG),,,Sarah Crowley,https://orcid.org/0009000799317348,University of Limerick (UL),https://ror.org/00a0n9e72,Research Ireland,https://ror.org/010t7sr36,"ADAPT - transforming ADolescent low bAck Pain care - a parTicipatory, mixed-methods approach",01/09/2024,31/08/2028,"€123,408.00",AHSS
GOIPG/2024/3942,Government of Ireland Postgraduate Scholarship (GOIPG),,,Eva Stenskar,https://orcid.org/0009-0009-1835-5356,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Research Ireland,https://ror.org/010t7sr36,The Uncanny in the Works of Sylvia Plath,01/09/2024,31/10/2026,"€62,000.00",AHSS
GOIPG/2024/3982,Government of Ireland Postgraduate Scholarship (GOIPG),,,Jasmine Faudone,https://orcid.org/0000-0002-5994-4536,Dublin City University (DCU),https://ror.org/04a1a1e81,Research Ireland,https://ror.org/010t7sr36,"Conflicts and New Borders: The Withdrawal Agreement Protocols of Northern Ireland, Gibraltar and Cyprus",01/09/2024,31/08/2026,"€60,310.00",AHSS
GOIPG/2024/4003,Government of Ireland Postgraduate Scholarship (GOIPG),,,Lorenzo Pisani,https://orcid.org/0000-0002-9356-4459,Dublin City University (DCU),https://ror.org/04a1a1e81,Research Ireland,https://ror.org/010t7sr36,SEE Toolkit: Developing Open-Souce Codes for solving the Semiclassical Einstein Equations,01/09/2024,31/08/2026,"€61,510.00",STEM
GOIPG/2024/4046,Government of Ireland Postgraduate Scholarship (GOIPG),,,James Burns,https://orcid.org/0000-0002-7140-5481,University of Limerick (UL),https://ror.org/00a0n9e72,Research Ireland,https://ror.org/010t7sr36,Exploring the effectiveness of music therapy intervention on language and communication in young children with acquired communication impairments,01/09/2024,31/08/2025,"€30,852.00",AHSS
GOIPG/2024/4100,Government of Ireland Postgraduate Scholarship (GOIPG),,,Jake Tiernan,https://orcid.org/0009-0003-7125-7970,Dublin City University (DCU),https://ror.org/04a1a1e81,Research Ireland,https://ror.org/010t7sr36,Evaluating the Role of Sensory Perception and Perceptual Decision-Making in Elite-Level Soccer Performance,01/09/2024,31/08/2028,"€123,020.00",AHSS
GOIPG/2024/4109,Government of Ireland Postgraduate Scholarship (GOIPG),,,Leonie Durkan,https://orcid.org/000900072306601X,University of Galway,https://ror.org/03bea9k73,Research Ireland,https://ror.org/010t7sr36,Investigating the role of the bone marrow osteoblasts in controlling natural killer cell functionality,01/09/2024,31/08/2028,"€124,000.00",STEM
GOIPG/2024/4132,Government of Ireland Postgraduate Scholarship (GOIPG),,,Searena Carroll,https://orcid.org/0009-0000-7914-5672,University College Dublin (UCD),https://ror.org/05m7pjf47,Research Ireland,https://ror.org/010t7sr36,Synthetic and Mechanistic Study to Develop Metallo-Drugs Targeting Antimicrobial Resistance (AMR) in Zoonotic Bacterial Pathogens,01/09/2024,31/08/2028,"€124,000.00",STEM
GOIPG/2024/4200,Government of Ireland Postgraduate Scholarship (GOIPG),,,Sorcha Mellon,https://orcid.org/0009-0007-5947-3290,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Research Ireland,https://ror.org/010t7sr36,Growing up in Multicultural Ireland:  The School Community Study,01/09/2024,10/05/2029,"€124,000.00",AHSS
GOIPG/2024/4243,Government of Ireland Postgraduate Scholarship (GOIPG),,,Nour Boulahcen,https://orcid.org/0000-0003-3863-3199,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Research Ireland,https://ror.org/010t7sr36,BioVerse: a Multidirectional Framework for Human-Plant-Computer Interfaces.,01/09/2024,31/08/2028,"€124,000.00",AHSS
GOIPG/2024/4252,Government of Ireland Postgraduate Scholarship (GOIPG),,,Hina Nouman,https://orcid.org/0009000659648225,University of Galway,https://ror.org/03bea9k73,Research Ireland,https://ror.org/010t7sr36,Advancing Sustainable High-Precision Composite Fabrication for Large Mirrors,01/11/2024,31/10/2028,"€124,000.00",STEM
GOIPG/2024/4257,Government of Ireland Postgraduate Scholarship (GOIPG),,,Christopher Greene,https://orcid.org/0009000899851580,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Research Ireland,https://ror.org/010t7sr36,Trust and acceptance of AI legal decision-making technologies in court systems,01/09/2024,31/08/2026,"€62,000.00",AHSS
GOIPG/2024/4259,Government of Ireland Postgraduate Scholarship (GOIPG),,,Samantha Trevaskis,https://orcid.org/0000-0003-4170-6950,University College Dublin (UCD),https://ror.org/05m7pjf47,Research Ireland,https://ror.org/010t7sr36,Psychosocial and health predictors of Premenstrual Dysphoric Disorder symptom severity in Ireland,01/09/2024,31/08/2025,"€31,000.00",AHSS
GOIPG/2024/4276,Government of Ireland Postgraduate Scholarship (GOIPG),,,Méabh Browne,https://orcid.org/0000000312008248,Technological University Dublin (TU Dublin),https://ror.org/04t0qbt32,Research Ireland,https://ror.org/010t7sr36,No Easy Divorce? Legal Pathways to Dissolution in Ireland.,01/09/2024,31/08/2026,"€61,500.00",AHSS
